#{"t_start": 1598502398.0228744, "env_id": "openDSS-v0"}
r,l,t
-484.206608,1,14.966957
-843.456912,1,15.004854
-7354.537209,1,15.043751
-6115.568916,1,15.087671
-1158.698051,1,15.144481
-1090.988922,1,15.191356
-86.900372,1,15.234246
-1059.953427,1,15.27716
-21415.349124,1,15.324003
-1409.69158,1,15.373906
-16014.213327,1,15.420777
-123.879934,1,15.466622
-5.726669,1,15.510502
-1606.242606,1,15.552392
-1525.189745,1,15.596275
-1324.010494,1,15.639159
-10400.744624,1,15.681048
-1164.883795,1,15.724929
-9492.286944,1,15.769811
-2009.46129,1,15.815717
-326.599814,1,15.858574
-1566.41542,1,15.902455
-3184.042835,1,15.948336
-1054.647861,1,16.003186
-9598.8629,1,16.066018
-16947.382122,1,16.124861
-6964.019371,1,16.200659
-403.137355,1,16.264487
-1481.580537,1,16.349263
-11028.169506,1,16.433038
-939.025283,1,16.506873
-1969.778386,1,16.559733
-11858.397138,1,16.61359
-2285.944074,1,16.66342
-1675.394027,1,16.718275
-1223.539316,1,16.770138
-2195.515237,1,16.816012
-885.37951,1,16.858897
-6219.682469,1,16.905773
-3744.252829,1,16.952647
-822.248264,1,17.00155
-30740.900693,1,17.052382
-1232.83579,1,17.124188
-3047.297219,1,17.188018
-917.991343,1,17.253844
-1451.475114,1,17.311687
-4940.048063,1,17.363548
-5803.873927,1,17.41242
-11226.456582,1,17.462284
-8392.590811,1,17.506166
-12249.454386,1,17.552045
-1282.665061,1,17.596925
-3209.966841,1,17.644796
-7361.101106,1,17.690706
-4148.618184,1,17.735587
-275.915646,1,17.779438
-1542.158467,1,17.822354
-10616.053238,1,17.866204
-18876.814304,1,17.909124
-518.902297,1,17.95397
-5568.85681,1,17.996888
-2856.488125,1,18.038743
-5975.437489,1,18.08861
-2166.345878,1,18.138477
-22955.685703,1,18.187346
-403.317788,1,18.238209
-3307.57464,1,18.284122
-6901.703056,1,18.328001
-13535.389491,1,18.371852
-1905.903559,1,18.418727
-2375.496579,1,18.463607
-5098.556592,1,18.511479
-35151.075636,1,18.555395
-2315.495373,1,18.599245
-3015.481488,1,18.644125
-1169.42181,1,18.688009
-1565.150705,1,18.732887
-888.644734,1,18.779793
-3697.196437,1,18.826636
-29975.447679,1,18.871517
-2302.986199,1,18.91543
-971.182391,1,18.966264
-8908.020607,1,19.018126
-9449.999099,1,19.069021
-210.935629,1,19.117859
-3434.301963,1,19.164732
-9411.327288,1,19.21164
-1742.949926,1,19.260476
-679.386002,1,19.306355
-43575.260191,1,19.35223
-3796.68677,1,19.39711
-1215.350361,1,19.440994
-2239.845485,1,19.487868
-5.886714,1,19.534743
-562.337025,1,19.58062
-2075.32472,1,19.627494
-2655.923076,1,19.674485
-174.811043,1,19.735323
-930.966385,1,19.800151
-393.873891,1,19.868965
-8754.914649,1,19.938778
-16919.210835,1,20.064442
-3327.378617,1,20.139245
-2240.907764,1,20.231994
-2387.303281,1,20.292831
-6056.867721,1,20.356662
-2081.517031,1,20.417498
-5214.86065,1,20.478336
-6866.878853,1,20.550144
-4989.504221,1,20.613978
-1986.768825,1,20.684788
-506.682878,1,20.764571
-2274.268486,1,20.84735
-9.915991,1,20.925143
-10248.297971,1,21.009919
-1273.038539,1,21.099675
-53.154628,1,21.188442
-778.575414,1,21.279195
-1855.263885,1,21.365963
-1689.959261,1,21.448741
-2090.779467,1,21.537511
-2066.726262,1,21.61729
-549.152642,1,21.697078
-12904.057105,1,21.847676
-385.830609,1,21.947407
-6682.120219,1,22.065094
-3493.459148,1,22.227659
-969.609185,1,22.336371
-1748.615553,1,22.430118
-662.514726,1,22.505916
-101.946693,1,22.581713
-1244.972685,1,22.667483
-11266.709531,1,22.747272
-2925.544553,1,22.829053
-2613.955466,1,22.897867
-11470.409462,1,22.975663
-9544.943423,1,23.048469
-2668.615376,1,23.123497
-3078.823565,1,23.204316
-1497.075366,1,23.290051
-2417.915485,1,23.37083
-2526.31907,1,23.430683
-2553.034294,1,23.504474
-6452.391914,1,23.685991
-9673.246871,1,23.829605
-79.61889,1,23.93532
-1505.672134,1,24.021094
-228.625706,1,24.082926
-2646.374374,1,24.138812
-1459.385441,1,24.196622
-11812.751103,1,24.24948
-8426.221604,1,24.298383
-5073.222233,1,24.347252
-10583.237829,1,24.401075
-2028.801775,1,24.451975
-710.636656,1,24.501805
-2976.174473,1,24.548681
-10897.347554,1,24.610249
-2458.89164,1,24.668093
-619.739021,1,24.737904
-745.227041,1,24.830656
-4033.170701,1,24.909445
-3591.995184,1,24.964298
-14613.40517,1,25.019152
-2083.536285,1,25.07301
-10403.955073,1,25.123906
-2861.972068,1,25.173741
-21552.73454,1,25.223643
-3307.316447,1,25.271515
-1123.271009,1,25.315391
-428.562226,1,25.356252
-1459.706621,1,25.399168
-7460.853455,1,25.444048
-17856.252691,1,25.490923
-2039.978118,1,25.536803
-3261.402469,1,25.580683
-1548.110493,1,25.623567
-7763.243721,1,25.667452
-5100.046784,1,25.717288
-7880.252639,1,25.768184
-3206.38961,1,25.81602
-12503.178988,1,25.858938
-16322.694807,1,25.907775
-8086.100632,1,25.960635
-18853.162676,1,26.015491
-7587.61003,1,26.069343
-1273.977053,1,26.124233
-4069.76333,1,26.176058
-12084.495052,1,26.232908
-4539.181482,1,26.314688
-3003.593094,1,26.374528
-7890.258782,1,26.434369
-7664.0862,1,26.496203
-11466.314346,1,26.556043
-1980.398535,1,26.626857
-5748.427984,1,26.688258
-124.763021,1,26.741117
-12939.66363,1,26.798961
-2249.736155,1,26.851821
-790.193261,1,26.925632
-994.702093,1,26.995437
-633.920469,1,27.057273
-18780.009267,1,27.11811
-1979.890841,1,27.181941
-8020.9869,1,27.243809
-2294.915032,1,27.306641
-1832.114161,1,27.369477
-2158.546734,1,27.41834
-4191.13063,1,27.465214
-401.766487,1,27.51405
-12350.670252,1,27.563917
-4857.181293,1,27.610791
-1491.602039,1,27.656671
-763.024758,1,27.700552
-29858.927507,1,27.747428
-2121.662091,1,27.801283
-3781.272335,1,27.863118
-6657.339207,1,27.928941
-128.943854,1,27.996761
-13.662936,1,28.054605
-2521.243278,1,28.113481
-634.232922,1,28.165335
-514.598841,1,28.219199
-4691.823442,1,28.279006
-4334.814977,1,28.332899
-1903.943861,1,28.391704
-12135.598221,1,28.444601
-4327.054544,1,28.501446
-3665.346585,1,28.560254
-1271.534698,1,28.612152
-4567.006174,1,28.673962
-8977.242395,1,28.732792
-23184.395026,1,28.790636
-5265.927092,1,28.838508
-3371.39788,1,28.886414
-6745.698973,1,28.934288
-4691.991206,1,28.982125
-10343.226271,1,29.035981
-74.710747,1,29.080861
-13668.655775,1,29.131757
-2005.831824,1,29.177603
-407.438323,1,29.219491
-1731.477648,1,29.261378
-38.388019,1,29.300274
-3817.115133,1,29.343195
-78.400245,1,29.389037
-686.539961,1,29.434916
-10860.667349,1,29.478797
-1648.738824,1,29.520715
-4006.027215,1,29.563569
-2578.137065,1,29.606491
-6422.818255,1,29.651336
-17090.615769,1,29.693224
-865.217692,1,29.737142
-5576.390455,1,29.779992
-4123.019848,1,29.822896
-7201.204026,1,29.86676
-6906.335687,1,29.909646
-3705.645686,1,29.953527
-138.990423,1,29.997444
-14523.221311,1,30.050268
-10710.570826,1,30.105122
-11149.675235,1,30.186908
-2484.363473,1,30.254723
-2365.23168,1,30.320547
-2689.805702,1,30.37939
-12614.147054,1,30.444217
-25091.039583,1,30.517022
-122.932766,1,30.571874
-1977.068497,1,30.626727
-414.461014,1,30.677625
-1257.23934,1,30.738428
-4851.251108,1,30.797272
-3191.100319,1,30.850131
-9890.894739,1,30.909976
-450.90451,1,30.970808
-6653.031917,1,31.036668
-1120.735509,1,31.104457
-9658.411903,1,31.166287
-598.825202,1,31.224166
-7052.876549,1,31.280979
-11409.611911,1,31.337827
-3271.333809,1,31.393679
-28347.338362,1,31.447533
-119.107339,1,31.499395
-1588.619919,1,31.558239
-11666.879304,1,31.616083
-2101.204298,1,31.679913
-6055.496364,1,31.734767
-251.812573,1,31.789618
-55240.237807,1,31.841514
-3810.917434,1,31.894373
-2028.387686,1,31.950189
-9397.257937,1,32.008034
-23033.539154,1,32.06189
-11706.481355,1,32.119773
-4853.904745,1,32.17459
-15138.77196,1,32.226488
-2657.394514,1,32.27735
-1273.078375,1,32.33516
-3949.639367,1,32.390014
-3032.301538,1,32.450853
-1774.658657,1,32.507698
-2222.942955,1,32.562551
-4264.790982,1,32.62339
-3996.514877,1,32.690213
-2128.42559,1,32.752046
-13913.72822,1,32.80095
-797.910228,1,32.845795
-1789.750947,1,32.903641
-524.244997,1,32.953507
-12060.438282,1,32.999385
-1654.510863,1,33.051274
-765.841311,1,33.111112
-12844.365531,1,33.175938
-19976.149684,1,33.230793
-5684.251776,1,33.286643
-4075.023011,1,33.339502
-5898.842604,1,33.396349
-7739.412328,1,33.464169
-538.409925,1,33.520021
-2455.348483,1,33.572877
-9849.517701,1,33.626734
-5465.435114,1,33.719486
-9128.422231,1,33.808252
-78.322952,1,33.897012
-7930.839112,1,34.012702
-2084.240552,1,34.159332
-552.617355,1,34.310906
-7889.629293,1,34.4266
-5672.724015,1,34.530321
-712.632687,1,34.673936
-31780.79449,1,34.775661
-11593.678785,1,34.890356
-43477.556264,1,34.978123
-6022.803451,1,35.056797
-2124.700518,1,35.129567
-13750.753577,1,35.211349
-9467.985613,1,35.313076
-3690.990683,1,35.455694
-531.838165,1,35.592329
-2185.460566,1,35.667128
-62.405299,1,35.733951
-751.943999,1,35.858616
-3965.090661,1,35.948377
-962.531667,1,36.014205
-2576.47088,1,36.076453
-5147.048564,1,36.148263
-3690.857466,1,36.224084
-83.326657,1,36.323838
-5105.214246,1,36.41056
-4274.687835,1,36.497329
-947.596395,1,36.59108
-4296.053575,1,36.688825
-876.970798,1,36.77359
-2127.177913,1,36.845398
-1646.17255,1,36.92319
-7655.156817,1,37.022923
-2983.464161,1,37.116672
-2451.474654,1,37.188484
-1391.047626,1,37.256298
-933.394339,1,37.313185
-4608.066148,1,37.370991
-2160.691357,1,37.421857
-1526.422713,1,37.470758
-3036.595506,1,37.518596
-9814.940946,1,37.564475
-5.974499,1,37.607393
-11259.574488,1,37.653238
-18341.431468,1,37.69712
-4290.477909,1,37.741034
-1442.936282,1,37.785883
-3978.388807,1,37.833756
-6010.83896,1,37.883621
-3160.552371,1,37.93249
-1569.908698,1,37.980363
-1902.215602,1,38.024248
-7251.101498,1,38.073115
-4833.7043,1,38.12002
-16322.296123,1,38.172108
-4679.608738,1,38.22471
-7710.899558,1,38.272581
-9930.675695,1,38.32145
-577.922953,1,38.370321
-4451.460082,1,38.416198
-16231.046732,1,38.45609
-1816.294396,1,38.498975
-8977.006129,1,38.548962
-1141.779553,1,38.591844
-5903.233449,1,38.646733
-4525.784112,1,38.699592
-15353.313576,1,38.748425
-17672.094212,1,38.796332
-154.898425,1,38.847164
-9308.202737,1,38.910028
-9428.410741,1,38.962852
-990.389343,1,39.014715
-4282.541458,1,39.059595
-13949.725253,1,39.106502
-3733.867028,1,39.153345
-2487.759252,1,39.203209
-2283.27062,1,39.256073
-8474.000246,1,39.318937
-6595.431653,1,39.378775
-4283.588376,1,39.43463
-6417.710752,1,39.489447
-1203.224145,1,39.542338
-3022.206672,1,39.597158
-6429.961144,1,39.65404
-39372.973108,1,39.714842
-3497.303308,1,39.791649
-1588.823615,1,39.868439
-14559.033913,1,39.940277
-5702.264459,1,39.995126
-901.094917,1,40.043963
-7040.815953,1,40.097862
-842.686243,1,40.161723
-572.762854,1,40.224533
-9587.212083,1,40.272394
-16839.808764,1,40.324288
-8782.18545,1,40.374158
-3075.506716,1,40.422028
-1380.881283,1,40.4699
-4865.58872,1,40.519755
-201.125875,1,40.570632
-4579.185689,1,40.62844
-8960.319211,1,40.690275
-4781.113466,1,40.759092
-5895.415952,1,40.856832
-8861.353141,1,41.003443
-4102.422889,1,41.113145
-4136.326568,1,41.244793
-27.703299,1,41.426311
-1738.909026,1,41.59386
-7531.748788,1,41.745471
-5636.950529,1,41.915002
-5098.050409,1,42.077566
-2765.478777,1,42.225173
-2694.89029,1,42.336879
-6085.861197,1,42.449572
-4068.063547,1,42.54831
-10521.050225,1,42.664016
-357.792632,1,42.764735
-268.343886,1,42.918326
-3078.732964,1,43.05795
-5684.919975,1,43.177626
-6231.839738,1,43.259407
-4998.895074,1,43.375101
-5871.072487,1,43.541655
-1440.090579,1,43.664327
-4748.119179,1,43.778028
-5164.726608,1,43.899711
-8543.22865,1,44.031345
-11374.021415,1,44.128088
-1392.203027,1,44.222831
-1353.546968,1,44.32855
-7352.928779,1,44.471176
-9398.181199,1,44.677619
-14134.859046,1,44.851172
-656.49186,1,44.960881
-2105.083109,1,45.073556
-1246.148123,1,45.231138
-8627.252795,1,45.408681
-10683.027827,1,45.551283
-5398.252541,1,45.647025
-4383.78968,1,45.745798
-3059.859482,1,45.852479
-180.585862,1,45.964176
-689.321374,1,46.143703
-9063.1247,1,46.284322
-12755.442012,1,46.401067
-6826.525467,1,46.485783
-1498.940796,1,46.547616
-5.642106,1,46.643394
-8497.938299,1,46.765045
-2592.185433,1,47.034507
-2279.842685,1,47.260893
-2831.36639,1,47.418474
-4672.871127,1,47.529396
-4172.360447,1,47.624802
-239.744691,1,47.716524
-18726.68785,1,47.806287
-1133.650177,1,47.905013
-63149.328028,1,47.988788
-1803.480252,1,48.084535
-11490.680928,1,48.208254
-10521.936157,1,48.349871
-7009.808175,1,48.452547
-6929.919699,1,48.599159
-2419.475874,1,48.77869
-4931.743733,1,48.946229
-10947.073897,1,49.128745
-11146.31885,1,49.271362
-9325.873714,1,49.400019
-5536.561723,1,49.534659
-290.260224,1,49.669297
-5500.538007,1,49.790969
-3975.829384,1,49.913641
-361.173177,1,50.064241
-1047.847715,1,50.224812
-9040.93761,1,50.352468
-9820.744995,1,50.45619
-1958.34011,1,50.554927
-469.760924,1,50.643689
-2202.482795,1,50.715501
-2027.783452,1,50.846147
